000	1.1117570027488
00	3.31828140660594
0	1.55897509062861
1000	3.3934939089138
100	1.29372200601924
100b	1
1015	2.51321760006794
101	2.51321760006794
1024	2.51321760006794
105	3.31828140660594
106	2.21218760440396
10	0.922912967716289
109	2.51321760006794
10ème	2.21218760440396
110	2.51321760006794
111	2.21218760440396
115	2.21218760440396
1160	2.51321760006794
11	1.35822565978906
117	2.51321760006794
11ème	2.51321760006794
120	2.21218760440396
125	2.21218760440396
12	2.3029795281007
126	2.51321760006794
12	1.36085153933223
1280	2.51321760006794
128	2.21218760440396
12ème	2.21218760440396
12mois	2.51321760006794
130	2.51321760006794
136	2.51321760006794
13	1.55897509062861
13ème	2.51321760006794
140	2.71479512713104
141	2.51321760006794
142	2.51321760006794
145	2.51321760006794
1466	2.51321760006794
14	1.51321760006794
14ème	5.02643520013588
1500	1.91115760873998
150	1.553539383522
154	2.51321760006794
15	1.10257396128691
15ème	2.51321760006794
1600	2.21218760440396
16	1.3992742477611
1	1.11795018125723
16	1.63248662238795
1	0.838462635942922
16	1.3992742477611
167	2.51321760006794
1	0.756260416732831
16ème	2.51321760006794
1	0.698718863285768
170	2.51321760006794
1	0.78256512688006
173	2.51321760006794
1	0.676654057076744
17	1.41785512539764
1780	2.21218760440396
178	5.02643520013588
17ème	5.02643520013588
180	2.51321760006794
1809	2.51321760006794
1859	2.51321760006794
18	1.35204576298488
1901	2.51321760006794
1925	2.51321760006794
1940	2.51321760006794
1946	2.51321760006794
1950	3.31828140660594
1953	2.51321760006794
1954	2.51321760006794
1959	2.21218760440396
1960	2.51321760006794
1961	2.51321760006794
1963	2.51321760006794
1969	2.51321760006794
19	1.43403635402031
1970	2.21218760440396
19	2.15105453103047
1970	2.21218760440396
19	1.43403635402031
1973	2.51321760006794
19	1.43403635402031
1978	2.51321760006794
1979	2.21218760440396
1980	1.81424759573192
1981	2.51321760006794
1982	2.21218760440396
1983	2.51321760006794
1985	2.51321760006794
1987	2.51321760006794
1989	2.51321760006794
1990	1.47182491490971
1991	2.21218760440396
1992	1.7350663496843
1993	2.71479512713104
1994	1.91115760873998
1995	2.21218760440396
1996	2.21218760440396
1997	2.51321760006794
1998	1.81424759573192
1a	5.5304690110099
1b	5.5304690110099
1er	1.50913962198785
1ère	1.55455342067676
2000	1.50913962198785
2001	1.81424759573192
2002	2.38894701092498
2003	1.7350663496843
2004	1.610127613076
2005	1.46473881898896
2006	1.51540985314723
200	1.36904934968056
2007	1.47273481958851
2008	1.27723082099534
2009	1.27279698462416
200m2	2.51321760006794
2010	1.12611201876475
2011	1.10480125121793
2012	1.22022488507609
2013	1.02711281891006
2014	1.32904874902868
2015	1.7321945451429
2016	2.02424407463168
2017	5.02643520013588
2018	2.38894701092498
2020	1.6730424130237
2023	2.51321760006794
2025	2.51321760006794
2030	3.34452581529497
2035	2.51321760006794
2040	4.07219269069656
2050	2.415191419614
2060	2.51321760006794
20	1.0322045350577
2100	2.51321760006794
210	2.51321760006794
211	2.51321760006794
212	2.51321760006794
215	2.51321760006794
21	1.66453936007473
21ème	2.21218760440396
220	2.03609634534828
221	2.51321760006794
22	1.7321945451429
230	2.21218760440396
23	1.610127613076
24	1.60737428801036
250	2.21218760440396
254	2.51321760006794
25	1.14220668077756
25ème	3.31828140660594
2600	2.51321760006794
260	2.21218760440396
262	2.51321760006794
26	1.61329089827285
2	0.674368509330684
26	2.15105453103047
2	0.796980965572627
268	2.51321760006794
2	1.01155276399603
270	2.51321760006794
2	0.922820065399883
27	1.47182491490971
276	2.51321760006794
27	1.76618989789165
280	2.71479512713104
28	1.3992742477611
289	2.51321760006794
290	2.51321760006794
292	2.21218760440396
29	1.55897509062861
2d	3.3934939089138
2è	2.51321760006794
2ème	2.89177724947383
2kg	2.51321760006794
3000	2.51321760006794
300	1.33340636484436
30	1.09723735161694
312	2.51321760006794
314	3.31828140660594
31	2.03609634534828
32	2.51321760006794
33	2.51321760006794
33ème	7.53965280020382
33èmes	5.02643520013588
34	2.51321760006794
350	1.91115760873998
352	2.51321760006794
35	1.66453936007473
36	1.66811956005368
3	1.19152665242796
36	1.66811956005368
3	0.872582649505321
38	2.51321760006794
3bcar	5.02643520013588
3c	2.51321760006794
3d	1.70415511606788
3e	2.51321760006794
3ème	2.6164573712485
400	1.33712634101226
40	1.32184075141572
410	2.51321760006794
41ème	2.51321760006794
42	1.91115760873998
43	2.21218760440396
449	2.51321760006794
450	2.51321760006794
45	2.21218760440396
46	2.51321760006794
4	0.765541693637074
47	3.31828140660594
48	2.03609634534828
4ème	2.415191419614
4i	3.81828140660594
5000	2.51321760006794
500	1.22401287012054
50	1.56138862795426
50ème	2.51321760006794
52	2.03609634534828
53	2.21218760440396
545	2.51321760006794
55	2.51321760006794
559	5.02643520013588
560	2.51321760006794
56	2.21218760440396
5	0.742365588425795
56	2.21218760440396
5	1.06235075585071
576	2.51321760006794
58	2.21218760440396
5ème	2.86673641310997
600	2.1770971148783
606	2.51321760006794
60	1.50913962198785
61	2.51321760006794
620	2.51321760006794
631	2.51321760006794
64	2.51321760006794
650	2.51321760006794
65	2.012659516345
65ème	2.51321760006794
6	0.950524690362591
694	2.51321760006794
69	2.21218760440396
6ème	3.3934939089138
7000	2.51321760006794
700	1.81424759573192
70	1.3992742477611
710	2.51321760006794
715	2.51321760006794
72	2.21218760440396
73	2.21218760440396
737	2.51321760006794
74	2.21218760440396
747	2.51321760006794
750	2.21218760440396
75	1.91115760873998
7	1.16624027727267
774	2.51321760006794
7	0.956915099300652
7ème	1.90642235434706
800	3.34452581529496
